pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,methodology,start_date,end_date,hypothetical,partisan,pollscore,transparency_score,voters
Suffolk,2.9,National,Kamala Harris,DEM,45.3,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,453
Suffolk,2.9,National,Donald Trump,REP,44.4,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,444
Suffolk,2.9,National,Kamala Harris,DEM,49.7,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,497
Suffolk,2.9,National,Donald Trump,REP,48.7,1000,lv,Live Phone,2024-10-14,2024-10-18,FALSE,NA,-1,8,487
U. North Florida,2.8,Florida,Kamala Harris,DEM,43,977,lv,Live Phone,2024-10-07,2024-10-18,FALSE,NA,-0.6,10,420
U. North Florida,2.8,Florida,Donald Trump,REP,53,977,lv,Live Phone,2024-10-07,2024-10-18,FALSE,NA,-0.6,10,518
Emerson,2.9,National,Kamala Harris,DEM,49.5,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-14,2024-10-16,FALSE,NA,-1.1,7,495
Emerson,2.9,National,Donald Trump,REP,49.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-14,2024-10-16,FALSE,NA,-1.1,7,492
YouGov,3,Arizona,Kamala Harris,DEM,48,1435,lv,Online Panel,2024-10-11,2024-10-16,FALSE,NA,-1.1,9,689
YouGov,3,Arizona,Donald Trump,REP,51,1435,lv,Online Panel,2024-10-11,2024-10-16,FALSE,NA,-1.1,9,732
YouGov,3,National,Kamala Harris,DEM,48,1457,rv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,699
YouGov,3,National,Donald Trump,REP,45,1457,rv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,656
YouGov,3,National,Kamala Harris,DEM,49,1314,lv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,644
YouGov,3,National,Donald Trump,REP,45,1314,lv,Online Panel,2024-10-12,2024-10-15,FALSE,NA,-1.1,9,591
Emerson,2.9,California,Kamala Harris,DEM,61,1000,lv,IVR/Online Panel,2024-10-12,2024-10-14,FALSE,NA,-1.1,7,610
Emerson,2.9,California,Donald Trump,REP,36.6,1000,lv,IVR/Online Panel,2024-10-12,2024-10-14,FALSE,NA,-1.1,7,366
Beacon/Shaw,2.8,National,Kamala Harris,DEM,48,1110,rv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,FALSE,NA,-1.1,9,533
Beacon/Shaw,2.8,National,Donald Trump,REP,50,1110,rv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,FALSE,NA,-1.1,9,555
Beacon/Shaw,2.8,National,Kamala Harris,DEM,48,870,lv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,FALSE,NA,-1.1,9,418
Beacon/Shaw,2.8,National,Donald Trump,REP,50,870,lv,Live Phone/Text-to-Web,2024-10-11,2024-10-14,FALSE,NA,-1.1,9,435
Quinnipiac,2.8,Georgia,Kamala Harris,DEM,45,1328,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,598
Quinnipiac,2.8,Georgia,Donald Trump,REP,52,1328,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,691
Quinnipiac,2.8,Georgia,Kamala Harris,DEM,46,1328,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,611
Quinnipiac,2.8,Georgia,Donald Trump,REP,52,1328,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,691
Quinnipiac,2.8,North Carolina,Kamala Harris,DEM,49,1031,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,505
Quinnipiac,2.8,North Carolina,Donald Trump,REP,47,1031,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,485
Quinnipiac,2.8,North Carolina,Kamala Harris,DEM,50,1031,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,516
Quinnipiac,2.8,North Carolina,Donald Trump,REP,47,1031,lv,Live Phone,2024-10-10,2024-10-14,FALSE,NA,-0.5,9,485
SurveyUSA,2.8,Washington,Kamala Harris,DEM,57,703,lv,Online Panel,2024-10-09,2024-10-14,FALSE,NA,-1.3,8,401
SurveyUSA,2.8,Washington,Donald Trump,REP,35,703,lv,Online Panel,2024-10-09,2024-10-14,FALSE,NA,-1.3,8,246
Ipsos,2.8,National,Kamala Harris,DEM,45,807,rv,Probability Panel,2024-10-11,2024-10-13,FALSE,NA,-0.9,9.5,363
Ipsos,2.8,National,Donald Trump,REP,42,807,rv,Probability Panel,2024-10-11,2024-10-13,FALSE,NA,-0.9,9.5,339
Ipsos,2.8,National,Kamala Harris,DEM,47,769,lv,Probability Panel,2024-10-11,2024-10-13,FALSE,NA,-0.9,9.5,361
Ipsos,2.8,National,Donald Trump,REP,44,769,lv,Probability Panel,2024-10-11,2024-10-13,FALSE,NA,-0.9,9.5,338
Ipsos,2.8,National,Kamala Harris,DEM,41,938,a,Probability Panel,2024-10-11,2024-10-13,FALSE,NA,-0.9,9.5,385
Ipsos,2.8,National,Donald Trump,REP,37,938,a,Probability Panel,2024-10-11,2024-10-13,FALSE,NA,-0.9,9.5,347
YouGov,3,National,Kamala Harris,DEM,51,2712,lv,Online Panel,2024-10-08,2024-10-11,FALSE,NA,-1.1,9,1383
YouGov,3,National,Donald Trump,REP,48,2712,lv,Online Panel,2024-10-08,2024-10-11,FALSE,NA,-1.1,9,1302
Marist,2.9,National,Kamala Harris,DEM,52,1401,lv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,FALSE,NA,-0.9,9,729
Marist,2.9,National,Donald Trump,REP,47,1401,lv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,FALSE,NA,-0.9,9,658
Marist,2.9,National,Kamala Harris,DEM,51,1708,rv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,FALSE,NA,-0.9,9,871
Marist,2.9,National,Donald Trump,REP,48,1708,rv,Online Panel/Text-to-Web,2024-10-08,2024-10-10,FALSE,NA,-0.9,9,820
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,50,857,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,428
Siena/NYT,3,Pennsylvania,Donald Trump,REP,47,857,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,403
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,49,857,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,420
Siena/NYT,3,Pennsylvania,Donald Trump,REP,45,857,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,386
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,50,857,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,428
Siena/NYT,3,Pennsylvania,Donald Trump,REP,47,857,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,403
Siena/NYT,3,Pennsylvania,Kamala Harris,DEM,49,857,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,420
Siena/NYT,3,Pennsylvania,Donald Trump,REP,45,857,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,386
Siena/NYT,3,Arizona,Kamala Harris,DEM,46,808,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,372
Siena/NYT,3,Arizona,Donald Trump,REP,51,808,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,412
Siena/NYT,3,Arizona,Kamala Harris,DEM,45,808,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,364
Siena/NYT,3,Arizona,Donald Trump,REP,50,808,lv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,404
Siena/NYT,3,Arizona,Kamala Harris,DEM,45,808,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,364
Siena/NYT,3,Arizona,Donald Trump,REP,51,808,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,412
Siena/NYT,3,Arizona,Kamala Harris,DEM,44,808,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,356
Siena/NYT,3,Arizona,Donald Trump,REP,49,808,rv,Live Phone,2024-10-07,2024-10-10,FALSE,NA,-1.5,9,396
U of Massachusetts Lowell,2.9,New Hampshire,Kamala Harris,DEM,50,600,lv,Online Panel,2024-10-02,2024-10-10,FALSE,NA,-1,9,300
U of Massachusetts Lowell,2.9,New Hampshire,Donald Trump,REP,41,600,lv,Online Panel,2024-10-02,2024-10-10,FALSE,NA,-1,9,246
YouGov,3,Texas,Kamala Harris,DEM,46,1091,lv,Online Panel,2024-10-02,2024-10-10,FALSE,NA,-1.1,9,502
YouGov,3,Texas,Donald Trump,REP,51,1091,lv,Online Panel,2024-10-02,2024-10-10,FALSE,NA,-1.1,9,556
Marquette Law School,3,National,Kamala Harris,DEM,50,780,rv,Probability Panel,2024-10-01,2024-10-10,FALSE,NA,-1.1,10,390
Marquette Law School,3,National,Donald Trump,REP,50,780,rv,Probability Panel,2024-10-01,2024-10-10,FALSE,NA,-1.1,10,390
Marquette Law School,3,National,Kamala Harris,DEM,50,652,lv,Probability Panel,2024-10-01,2024-10-10,FALSE,NA,-1.1,10,326
Marquette Law School,3,National,Donald Trump,REP,50,652,lv,Probability Panel,2024-10-01,2024-10-10,FALSE,NA,-1.1,10,326
U of Massachusetts Lowell,2.9,Pennsylvania,Kamala Harris,DEM,46,800,lv,Online Panel,2024-10-02,2024-10-09,FALSE,NA,-1,9,368
U of Massachusetts Lowell,2.9,Pennsylvania,Donald Trump,REP,45,800,lv,Online Panel,2024-10-02,2024-10-09,FALSE,NA,-1,9,360
Emerson,2.9,Arizona,Kamala Harris,DEM,48.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,482
Emerson,2.9,Arizona,Donald Trump,REP,50.5,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,505
Emerson,2.9,Georgia,Kamala Harris,DEM,49.8,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,498
Emerson,2.9,Georgia,Donald Trump,REP,49.7,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,497
Emerson,2.9,Michigan,Kamala Harris,DEM,49.7,950,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,472
Emerson,2.9,Michigan,Donald Trump,REP,49.6,950,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,471
Emerson,2.9,Nevada,Kamala Harris,DEM,49.2,900,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,443
Emerson,2.9,Nevada,Donald Trump,REP,48.1,900,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,433
Emerson,2.9,North Carolina,Kamala Harris,DEM,49,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,490
Emerson,2.9,North Carolina,Donald Trump,REP,49.9,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,499
Emerson,2.9,Pennsylvania,Kamala Harris,DEM,49,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,490
Emerson,2.9,Pennsylvania,Donald Trump,REP,49.7,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,497
Emerson,2.9,Wisconsin,Kamala Harris,DEM,49.2,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,492
Emerson,2.9,Wisconsin,Donald Trump,REP,49.9,1000,lv,IVR/Online Panel/Text-to-Web,2024-10-05,2024-10-08,FALSE,NA,-1.1,7,499
Siena/NYT,3,Montana,Kamala Harris,DEM,39,656,rv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,256
Siena/NYT,3,Montana,Donald Trump,REP,57,656,rv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,374
Siena/NYT,3,Montana,Kamala Harris,DEM,38,656,rv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,249
Siena/NYT,3,Montana,Donald Trump,REP,56,656,rv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,367
Siena/NYT,3,Montana,Kamala Harris,DEM,40,656,lv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,262
Siena/NYT,3,Montana,Donald Trump,REP,57,656,lv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,374
Siena/NYT,3,Montana,Kamala Harris,DEM,39,656,lv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,256
Siena/NYT,3,Montana,Donald Trump,REP,56,656,lv,Live Phone,2024-10-05,2024-10-08,FALSE,NA,-1.5,9,367
Ipsos,2.8,National,Kamala Harris,DEM,49,2631,a,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1289
Ipsos,2.8,National,Donald Trump,REP,48,2631,a,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1263
Ipsos,2.8,National,Kamala Harris,DEM,49,2226,rv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1091
Ipsos,2.8,National,Donald Trump,REP,47,2226,rv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1046
Ipsos,2.8,National,Kamala Harris,DEM,50,1714,lv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,857
Ipsos,2.8,National,Donald Trump,REP,48,1714,lv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,823
Ipsos,2.8,National,Kamala Harris,DEM,50,2631,a,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1316
Ipsos,2.8,National,Donald Trump,REP,49,2631,a,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1289
Ipsos,2.8,National,Kamala Harris,DEM,50,2226,rv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1113
Ipsos,2.8,National,Donald Trump,REP,49,2226,rv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,1091
Ipsos,2.8,National,Kamala Harris,DEM,51,1714,lv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,874
Ipsos,2.8,National,Donald Trump,REP,48,1714,lv,Probability Panel,2024-10-04,2024-10-08,FALSE,NA,-0.9,9.5,823
YouGov,3,National,Kamala Harris,DEM,47,1414,rv,Online Panel,2024-10-06,2024-10-07,FALSE,NA,-1.1,9,665
YouGov,3,National,Donald Trump,REP,44,1414,rv,Online Panel,2024-10-06,2024-10-07,FALSE,NA,-1.1,9,622
YouGov,3,National,Kamala Harris,DEM,49,1230,lv,Online Panel,2024-10-06,2024-10-07,FALSE,NA,-1.1,9,603
YouGov,3,National,Donald Trump,REP,45,1230,lv,Online Panel,2024-10-06,2024-10-07,FALSE,NA,-1.1,9,554
Ipsos,2.8,National,Kamala Harris,DEM,42,1272,a,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,534
Ipsos,2.8,National,Donald Trump,REP,38,1272,a,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,483
Ipsos,2.8,National,Kamala Harris,DEM,46,1076,rv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,495
Ipsos,2.8,National,Donald Trump,REP,43,1076,rv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,463
Ipsos,2.8,National,Kamala Harris,DEM,47,1076,lv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,506
Ipsos,2.8,National,Donald Trump,REP,45,1076,lv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,484
Ipsos,2.8,National,Kamala Harris,DEM,48,1272,a,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,611
Ipsos,2.8,National,Donald Trump,REP,47,1272,a,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,598
Ipsos,2.8,National,Kamala Harris,DEM,50,1076,rv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,538
Ipsos,2.8,National,Donald Trump,REP,48,1076,rv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,516
Ipsos,2.8,National,Kamala Harris,DEM,51,1076,lv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,549
Ipsos,2.8,National,Donald Trump,REP,49,1076,lv,Probability Panel,2024-10-04,2024-10-07,FALSE,NA,-0.9,9.5,527
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,47,1007,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,473
Quinnipiac,2.8,Michigan,Donald Trump,REP,50,1007,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,504
Quinnipiac,2.8,Michigan,Kamala Harris,DEM,47,1007,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,473
Quinnipiac,2.8,Michigan,Donald Trump,REP,51,1007,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,514
Quinnipiac,2.8,Pennsylvania,Kamala Harris,DEM,49,1412,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,692
Quinnipiac,2.8,Pennsylvania,Donald Trump,REP,46,1412,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,650
Quinnipiac,2.8,Pennsylvania,Kamala Harris,DEM,49,1412,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,692
Quinnipiac,2.8,Pennsylvania,Donald Trump,REP,47,1412,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,664
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,46,1073,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,494
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,48,1073,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,515
Quinnipiac,2.8,Wisconsin,Kamala Harris,DEM,47,1073,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,504
Quinnipiac,2.8,Wisconsin,Donald Trump,REP,49,1073,lv,Live Phone,2024-10-03,2024-10-07,FALSE,NA,-0.5,9,526
Marist,2.9,Florida,Kamala Harris,DEM,47,1257,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,591
Marist,2.9,Florida,Donald Trump,REP,51,1257,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,641
Marist,2.9,Florida,Kamala Harris,DEM,47,1410,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,663
Marist,2.9,Florida,Donald Trump,REP,51,1410,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,719
Marist,2.9,Texas,Kamala Harris,DEM,46,1365,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,628
Marist,2.9,Texas,Donald Trump,REP,52,1365,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,710
Marist,2.9,Texas,Kamala Harris,DEM,46,1186,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,546
Marist,2.9,Texas,Donald Trump,REP,53,1186,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,629
Marist,2.9,Ohio,Kamala Harris,DEM,46,1511,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,695
Marist,2.9,Ohio,Donald Trump,REP,52,1511,rv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,786
Marist,2.9,Ohio,Kamala Harris,DEM,46,1327,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,610
Marist,2.9,Ohio,Donald Trump,REP,52,1327,lv,Live Phone/Online Panel/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-0.9,9,690
The Washington Post,3,Ohio,Kamala Harris,DEM,45,1002,lv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-1.2,9,451
The Washington Post,3,Ohio,Donald Trump,REP,51,1002,lv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-1.2,9,511
The Washington Post,3,Ohio,Kamala Harris,DEM,44,1002,rv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-1.2,9,441
The Washington Post,3,Ohio,Donald Trump,REP,51,1002,rv,Live Phone/Text-to-Web,2024-10-03,2024-10-07,FALSE,NA,-1.2,9,511
Siena/NYT,3,National,Kamala Harris,DEM,49,3385,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,1659
Siena/NYT,3,National,Donald Trump,REP,46,3385,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,1557
Siena/NYT,3,National,Kamala Harris,DEM,47,3385,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,1591
Siena/NYT,3,National,Donald Trump,REP,44,3385,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,1489
Siena/NYT,3,Florida,Kamala Harris,DEM,41,622,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,255
Siena/NYT,3,Florida,Donald Trump,REP,55,622,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,342
Siena/NYT,3,Florida,Kamala Harris,DEM,40,622,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,249
Siena/NYT,3,Florida,Donald Trump,REP,53,622,lv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,330
Siena/NYT,3,Florida,Kamala Harris,DEM,41,622,rv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,255
Siena/NYT,3,Florida,Donald Trump,REP,54,622,rv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,336
Siena/NYT,3,Florida,Kamala Harris,DEM,40,622,rv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,249
Siena/NYT,3,Florida,Donald Trump,REP,53,622,rv,Live Phone,2024-09-29,2024-10-06,FALSE,NA,-1.5,9,330
Suffolk,2.9,Massachusetts,Kamala Harris,DEM,61.2,500,lv,Live Phone,2024-10-01,2024-10-05,FALSE,NA,-1,8,306
Suffolk,2.9,Massachusetts,Donald Trump,REP,32.2,500,lv,Live Phone,2024-10-01,2024-10-05,FALSE,NA,-1,8,161
YouGov,3,National,Kamala Harris,DEM,46,1150,rv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,529
YouGov,3,National,Donald Trump,REP,45,1150,rv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,518
YouGov,3,National,Kamala Harris,DEM,47,1032,lv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,485
YouGov,3,National,Donald Trump,REP,47,1032,lv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,485
YouGov,3,National,Kamala Harris,DEM,48,1151,rv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,552
YouGov,3,National,Donald Trump,REP,46,1151,rv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,529
YouGov,3,National,Kamala Harris,DEM,48,1033,lv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,496
YouGov,3,National,Donald Trump,REP,47,1033,lv,Online Panel,2024-10-02,2024-10-04,FALSE,NA,-1.1,9,486
Siena/NYT,3,Texas,Kamala Harris,DEM,44,617,lv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,271
Siena/NYT,3,Texas,Donald Trump,REP,50,617,lv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,308
Siena/NYT,3,Texas,Kamala Harris,DEM,42,617,lv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,259
Siena/NYT,3,Texas,Donald Trump,REP,49,617,lv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,302
Siena/NYT,3,Texas,Kamala Harris,DEM,44,617,rv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,271
Siena/NYT,3,Texas,Donald Trump,REP,50,617,rv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,308
Siena/NYT,3,Texas,Kamala Harris,DEM,41,617,rv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,253
Siena/NYT,3,Texas,Donald Trump,REP,48,617,rv,Live Phone,2024-09-29,2024-10-04,FALSE,NA,-1.5,9,296
Christopher Newport U.,2.8,Virginia,Kamala Harris,DEM,52,800,lv,Live Phone,2024-09-28,2024-10-04,FALSE,NA,-0.6,9,416
Christopher Newport U.,2.8,Virginia,Donald Trump,REP,41,800,lv,Live Phone,2024-09-28,2024-10-04,FALSE,NA,-0.6,9,328
